closed_at,symbol,side,analyst,outcome,posted_entry,posted_stop,entry_price,entry_matches_posted,exit_price,exit_reached,move_pct,r_multiple,trade_id,signal_id,stop_used,follower_r,follower_move_pct,cost_r,entry_bps,exit_bps
"2026-07-31T10:18:38.435000Z","BSVUSDT","SHORT","Electron","loss",,"13.57","12.52","false","12.62","CLOSE","-0.8","-0.1","8aae2893-bb52-4e97-85ee-a077d6f97368","AXN-2026-07-29-00200","13.57","-0.12","-0.95","0.02","7.5","7.5"
"2026-07-30T13:49:59.999000Z","BTCUSDT","SHORT","SaltWayer","win",,"65800","65138.6","false","63317","TP2","2.8","2.75","fcc9b480-2cfe-4125-a2a3-ae930c740fc6","AXN-2026-07-27-00190","65800","2.66","2.71","0.09","7.5","2"
"2026-07-30T11:50:59.999000Z","BTCUSDT","SHORT","Electron","win","64750","66500","64750","true","63667.8","PARTIAL","1.67","0.62","8b062d3d-a1e3-47a5-873c-30c9a14f75db","AXN-2026-07-27-00195","66500","0.59","1.58","0.03","2","7.5"
"2026-07-30T02:10:59.999000Z","SAFEUSDT","SHORT","SaltWayer","win",,"0.09747","0.0927","false","0.08024","TP2","13.44","2.61","efa7f272-a785-410f-b3ab-ae4317c9188b","AXN-2026-07-27-00191","0.09747","2.59","13.35","0.02","7.5","2"
"2026-07-29T23:59:59.999000Z","ALGOUSDT","LONG","Belovy","loss",,"0.079","0.10465","false","0.09711","PARTIAL","-7.2","-0.29","c34b65cb-46a1-4e1e-ace0-509df4c0b78e","AXN-2026-06-04-00053","0.079","-0.3","-7.34","0.01","7.5","7.5"
"2026-07-29T13:45:59.999000Z","OGNUSDT","SHORT","Electron","breakeven",,"0.0172","0.015876","false","0.015876","BE","0","0","1d1ce626-36a0-4b34-9cdd-6d63198a81f4","AXN-2026-07-27-00196","0.0172","-0.02","-0.18","0.02","7.5","10.5"
"2026-07-29T05:43:00Z","XRPUSDT","LONG","Pipfessor","loss",,"1.044","1.108","false","1.0869","CLOSE","-1.9","-0.33","0428d396-2161-4809-b3db-250b2c2d440c","AXN-2026-07-21-00172","1.044","-0.36","-2.05","0.03","7.5","7.5"
"2026-07-28T20:33:00Z","XRPUSDT","SHORT","Thmassz","win",,"1.1729","1.139","false","1.0613","CLOSE","6.82","2.29","521aefdd-485f-4a3c-a934-1ef0d9fa7771","AXN-2026-07-23-00180","1.1729","2.24","6.68","0.05","7.5","7.5"
"2026-07-28T15:12:59.999000Z","ONDOUSDT","SHORT","Thmassz","loss",,"0.4065","0.3897","false","0.4065","SL","-4.31","-1","5a27b81b-0e56-4677-8326-e197fa282ba9","AXN-2026-07-28-00197","0.4065","-1.04","-4.49","0.04","7.5","10.5"
"2026-07-28T07:19:00Z","EPICUSDT","SHORT","Pipfessor","loss",,"0.767","0.6728","false","0.6843","CLOSE","-1.71","-0.12","048906c4-1d71-4c8a-8bb1-85caf7c384b4","AXN-2026-07-27-00193","0.767","-0.13","-1.86","0.01","7.5","7.5"
"2026-07-28T06:13:15.535000Z","LTCUSDT","LONG","Bitcoin Wizard","loss",,"43.62","46.93","false","46.15","CLOSE","-1.66","-0.24","dfacd284-a1aa-484b-89ae-692af95aef67","AXN-2026-07-27-00194","43.62","-0.26","-1.81","0.02","7.5","7.5"
"2026-07-28T03:59:59.999000Z","SOLUSDT","LONG","Bitcoin Wizard","loss",,"73.53","79.51","false","73.53","SL","-7.52","-1","b858153d-e5ae-4f74-9ac4-44e5c88729ca","AXN-2026-07-10-00148","73.53","-1.02","-7.69","0.02","7.5","10.5"
"2026-07-28T03:37:59.999000Z","CLOUSDT","SHORT","Electron","win","0.12675","0.14123","0.12675","true","0.11124","PARTIAL","12.24","1.07","431fd12e-dd53-4b13-b6f8-184b23237bce","AXN-2026-07-25-00187","0.14123","1.06","12.15","0.01","2","7.5"
"2026-07-27T23:04:59.999000Z","FARTCOINUSDT","LONG","Thmassz","loss",,"0.1218","0.13263","false","0.1218","SL","-8.17","-1","840a7d35-9117-4a6a-b9c4-d327f6029de8","AXN-2026-07-26-00189","0.1218","-1.02","-8.34","0.02","7.5","10.5"
"2026-07-27T14:59:59.999000Z","ZRXUSDT","LONG","D3LTA","loss",,"0.0823","0.08528","false","0.0823","SL","-3.5","-1","d30f9065-c556-4276-8b83-2c5bb15b4b1c","AXN-2026-07-20-00170","0.0823","-1.05","-3.68","0.05","7.5","10.5"
"2026-07-27T09:09:00Z","BTCUSDT","SHORT","Electron","loss","64441","66428","65044.5","false","65083.1","CLOSE","-0.06","-0.03","a686ab5b-0b62-442a-bbbb-6c4aa0c15952","AXN-2026-07-24-00184","66428","-0.07","-0.16","0.04","2","7.5"
"2026-07-26T22:32:59.999000Z","LINKUSDT","SHORT","Thmassz","loss",,"8764","8.462","false","8.764","SL","-3.57","-1","0aa092a1-b85f-4787-babe-dc7e9d9bee2d","AXN-2026-07-23-00183","8.764","-1.05","-3.75","0.05","7.5","10.5"
"2026-07-26T14:27:59.999000Z","LAUSDT","SHORT","Electron","win",,"0.08302","0.0748","false","0.06489","PARTIAL","13.25","1.21","ab5358a4-5325-4059-9ff1-543602b56963","AXN-2026-07-24-00185","0.08302","1.2","13.11","0.01","7.5","7.5"
"2026-07-24T21:40:59.999000Z","HYPEUSDT","LONG","Thmassz","loss",,"57.02","60.98","false","57.02","SL","-6.49","-1","655917df-2fe2-48e7-a975-1b402e7644b2","AXN-2026-07-20-00168","57.02","-1.03","-6.66","0.03","7.5","10.5"
"2026-07-24T14:14:59.999000Z","INJUSDT","LONG","Belovy","win",,"4.97","5.178","false","5.44","TP4","5.06","1.26","3f8e3133-0e7d-456f-b337-cda2ba9fb7d9","AXN-2026-07-22-00178","4.97","1.24","4.96","0.02","7.5","2"
"2026-07-24T12:35:59.999000Z","RAYDIUMUSDT","LONG","SaltWayer","win",,"0.5983","0.6253","false","0.7477","TP3","19.57","4.53","c82e092f-f5fb-425e-aa3b-b34884bd8eac","AXN-2026-07-01-00124","0.5983","4.51","19.47","0.02","7.5","2"
"2026-07-24T08:08:00Z","LDOUSDT","LONG","Bitcoin Wizard","win",,"0.2693","0.2893","false","0.3972","CLOSE","37.3","5.4","260cb520-8e93-477e-8d32-511af4f60fbe","AXN-2026-07-07-00137","0.2693","5.37","37.12","0.03","7.5","7.5"
